DPDP Data Inventory — Labour Supply and Staffing,,,,,,,,,,,,,,,,
By Specus Labs | CC BY 4.0 | This is not legal advice.,,,,,,,,,,,,,,,,
Client HR Contact Database (CRM or Spreadsheet),CRM or spreadsheet,"Client company HR contact name, work phone, work email, designation, company name, city","Client HR contacts","Client relationship management, requirement intake, placement coordination",Legitimate use (B2B contact) — monitor DPDP Rules updates,"Collected directly from client during business development or via business card","Founder, Senior Recruitment team","Google LLC (if using Sheets); CRM vendor if applicable",USA or India,Depends,Standard platform security,"Duration of client relationship + 2 years","Manual deletion from CRM or sheet on client relationship ending.","Low",N,"B2B contact data is generally lower risk. Still personal data if individually identifiable. Monitor DPDP Rules for any B2B exemptions."
Payroll Processing (Software or Manual Bank Transfers),Payroll software or spreadsheet,"Placed candidate / employee name, bank account number, IFSC code, UAN (PF number), ESI number, monthly salary, CTC breakdown, TDS deductions","Placed candidates / workers on payroll","Salary disbursement, statutory deductions (TDS, PF, ESI), payslip generation",Legal obligation / Contractual necessity,"Collected from employee during document submission","Founder, Finance team, Accountant","Payroll software vendor (Keka / RazorpayX / Zoho Payroll) or external accountant",India,N,"Payroll software encryption, 2FA (if using software) / email security (if using accountant)","8 years (Income Tax statutory requirement)","Cannot delete bank and salary records within statutory period. Mark for deletion after 8 years.","High",N,"Consider moving from manual bank transfers to payroll software — reduces exposure of bank details. If sharing bank details with external accountant via email, use password-protected files and confirm accountant DPA."
Government Portals (EPFO / ESIC / Income Tax),Government platforms,"Employee / worker name, Aadhaar (linked), PAN (linked), UAN, ESI IP number, employer PF registration number, contribution records","Placed candidates / workers","Statutory registration and contribution compliance — PF and ESI","Legal obligation","Entered by compliance team during onboarding / from employee documents","Founder, Compliance team, Accountant","Government of India / EPFO / ESIC",India,N,"Government portal security — password protect portal login accounts","As per statutory requirements — do not delete statutory records","Cannot delete — statutory records","Low",N,"Low risk category — government regulated. Ensure portal login credentials are stored securely and not shared verbally. Use unique passwords."
Client Candidate Submission (Email / Client Portal),Email or client portal,"Candidate name, resume, contact details, assessment notes shared with client for approval","Job applicants","Client approval process before candidate placement",Consent (Section 6) — candidate should be informed of client sharing in consent notice,"Prepared by recruitment team from candidate database","Recruitment team, Founder","Client company (external) — client becomes Data Controller on receipt",India (typically),N,"Email TLS in transit / client portal security","Delete from own systems after placement. Client data retention governed by client.","Delete from sent folder and shared files after placement confirmation.","Medium",N,"Candidate must be informed that their data will be shared with the client company. Include this disclosure in candidate intake consent notice. Do not share more data than necessary for the specific role."
,,,,,,,,,,,,,,,,
Add more rows above this line,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PRIORITY ACTIONS FOR STAFFING BUSINESSES,,,,,,,,,,,,,,,,
1. Replace WhatsApp document collection with a digital intake form that includes consent checkbox — most critical gap (Section 6),,,,,,,,,,,,,,,,
2. Restrict Google Sheet and Google Drive access — audit sharing settings today,,,,,,,,,,,,,,,,
3. Stop using personal recruiter email accounts for candidate data,,,,,,,,,,,,,,,,
4. Issue DPA with background verification agency before next BGV run,,,,,,,,,,,,,,,,
5. Delete Aadhaar and PAN scans from Google Drive after statutory registration is complete,,,,,,,,,,,,,,,,
6. Set a 12-month deletion trigger for non-placed candidates,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
This is not legal advice. Consult a qualified legal professional for advice specific to your organisation.,,,,,,,,,,,,,,,,
