DPDP Data Inventory — AI SaaS,,,,,,,,,,,,,,,,
By Specus Labs | CC BY 4.0 | This is not legal advice.,,,,,,,,,,,,,,,,
Analytics Platform (Mixpanel / Amplitude / PostHog),Product analytics,"User ID, session events, feature interactions, page views, error events, plan type, cohort membership — must NOT include prompt text or AI output","Registered users","Product analytics, feature adoption tracking, funnel analysis, growth metrics",Consent (Section 6) / Legitimate use,"Collected automatically via analytics SDK during product use","Product, Growth, Founder","Mixpanel Inc. / Amplitude Inc. / PostHog Inc.",USA / USA / USA or self-hosted,Y (cloud) / Y / Depends,"SOC 2 compliant, TLS, data minimisation in event schema","24 months or until account deletion","Delete user profile via analytics platform API or dashboard. Must be included in account deletion pipeline.","Medium",N,"Ensure prompt text and AI response content are NEVER included in analytics events. Only track behavioural metadata. Review your event schema for accidental PII leakage."
Billing and Subscription Platform (Stripe / Razorpay / Chargebee),Billing platform,"Customer name, email, billing address, payment method (tokenised), subscription plan, invoice history, payment status","Registered users (paying customers)","Subscription billing, payment processing, invoice generation",Consent (Section 6),"Collected at first payment or subscription setup","Founder, Finance team","Stripe Inc. / Razorpay Financial Services / Chargebee Inc.",USA / India / USA,Y (Stripe / Chargebee) / N (Razorpay),"PCI DSS compliant, TLS, tokenisation of card data","Duration of subscription + 7 years (statutory financial records)","Cannot fully delete — statutory financial retention applies to invoices. Anonymise non-statutory fields on account deletion.","Medium",N,"Download DPA from Stripe and Chargebee if using those platforms. Payment records are subject to statutory retention — document this exception in your inventory and inform users."
Customer Support Tool (Intercom / Freshdesk),Customer support platform,"User name, email, support conversation history, product context shared in support tickets, subscription plan","Registered users","Customer support, bug reporting, feature requests",Consent (Section 6),"User-initiated support contact","Support team, Founder","Intercom R&D / Freshworks Inc.",Ireland / India,Y (Intercom) / N (Freshworks),"SOC 2, TLS, GDPR compliant (Intercom)","2 years from ticket resolution","Delete contact via platform dashboard. Include in account deletion pipeline.","Low",N,"Ensure support tool is not used to store or replay AI output content. Keep support tickets limited to issue description and resolution notes."
Email Platform (Postmark / SendGrid / AWS SES),Transactional email,"Recipient email address, email send timestamps, delivery status, open/click events (if tracking enabled)","Registered users","Transactional emails — account verification, password reset, billing notifications, usage alerts",Consent implied by account registration,"Generated by product application","Engineering team, Founder","Postmark / SendGrid / AWS SES",USA / USA / India or USA,Y (all),"TLS, DKIM/SPF/DMARC, SOC 2 (Postmark/SendGrid)","90 days log retention recommended","Delete via platform API or log expiry.","Low",N,"Disable email open/click tracking in transactional emails if not needed — reduces behavioural data collection. DPA available from all major providers."
HR System / Payroll (internal or tool),HR or payroll tool,"Employee name, email, phone, PAN, bank account, salary, equity details, offer letter, performance notes","Employees and contractors","Payroll, HR management, equity administration, statutory compliance","Contractual necessity / Legal obligation","Collected directly from employees during onboarding","Founder, HR (if role exists)","Payroll software vendor / external accountant",India,N,"Software encryption, access restricted to Founder and HR","Employment + 5 years post-exit (statutory)","Manual deletion after statutory period. Document deletion.","High",N,"Keep separate from product infrastructure. Restrict to 1–2 named individuals. Use dedicated payroll software rather than spreadsheets."
,,,,,,,,,,,,,,,,
Add more rows above this line,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PRIORITY ACTIONS FOR AI SAAS BUSINESSES,,,,,,,,,,,,,,,,
1. Sign DPAs with every AI API provider (OpenAI / Anthropic / Google / AWS Bedrock) — non-negotiable before handling real user data,,,,,,,,,,,,,,,,
2. Verify API inputs are not used for model training by your provider — opt out if default is opt-in,,,,,,,,,,,,,,,,
3. Set inference log retention to 30–90 days maximum and implement log redaction for obvious PII,,,,,,,,,,,,,,,,
4. Include inference logs and embedding vectors in your account deletion pipeline,,,,,,,,,,,,,,,,
5. Audit training data for personal data before next fine-tuning run,,,,,,,,,,,,,,,,
6. Update privacy policy to disclose AI API providers their countries and what happens to prompt inputs,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DPDP Act references:,,,,,,,,,,,,,,,,
Section 6 — Consent must disclose purpose and third-party sharing,,,,,,,,,,,,,,,,
Section 8(4) — Security safeguards for all personal data,,,,,,,,,,,,,,,,
Section 8(7) — Data must be deleted when no longer necessary,,,,,,,,,,,,,,,,
Section 11 — Access requests — must be able to retrieve all user data,,,,,,,,,,,,,,,,
Section 12 — Erasure requests — must delete including logs and vectors,,,,,,,,,,,,,,,,
Section 9 — Children's data — age gate required if product accessible to under-18s,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
This is not legal advice. Consult a qualified legal professional for advice specific to your organisation.,,,,,,,,,,,,,,,,
